policy,coverage,selective_risk
rfdi_composite_risk,0.51,0.5294117647058824
rfdi_composite_risk,0.52,0.5192307692307693
rfdi_composite_risk,0.53,0.5283018867924528
rfdi_composite_risk,0.54,0.5370370370370371
rfdi_composite_risk,0.55,0.5272727272727272
rfdi_composite_risk,0.56,0.5178571428571429
rfdi_composite_risk,0.57,0.5263157894736842
rfdi_composite_risk,0.58,0.5344827586206896
rfdi_composite_risk,0.59,0.5423728813559322
rfdi_composite_risk,0.6,0.55
rfdi_composite_risk,0.61,0.5409836065573771
rfdi_composite_risk,0.62,0.532258064516129
rfdi_composite_risk,0.63,0.5396825396825397
rfdi_composite_risk,0.64,0.546875
rfdi_composite_risk,0.65,0.5538461538461539
rfdi_composite_risk,0.66,0.5606060606060606
rfdi_composite_risk,0.67,0.5671641791044776
rfdi_composite_risk,0.68,0.5735294117647058
rfdi_composite_risk,0.69,0.5652173913043478
rfdi_composite_risk,0.7,0.5714285714285714
rfdi_composite_risk,0.71,0.5774647887323944
rfdi_composite_risk,0.72,0.5694444444444444
rfdi_composite_risk,0.73,0.5753424657534246
rfdi_composite_risk,0.74,0.581081081081081
rfdi_composite_risk,0.75,0.5866666666666667
rfdi_composite_risk,0.76,0.5921052631578947
rfdi_composite_risk,0.77,0.5844155844155844
rfdi_composite_risk,0.78,0.5897435897435898
rfdi_composite_risk,0.79,0.5949367088607594
rfdi_composite_risk,0.8,0.6
rfdi_composite_risk,0.81,0.6049382716049383
rfdi_composite_risk,0.82,0.6097560975609756
rfdi_composite_risk,0.83,0.6144578313253012
rfdi_composite_risk,0.84,0.6190476190476191
rfdi_composite_risk,0.85,0.6235294117647059
rfdi_composite_risk,0.86,0.6162790697674418
rfdi_composite_risk,0.87,0.6206896551724138
rfdi_composite_risk,0.88,0.625
rfdi_composite_risk,0.89,0.6292134831460674
rfdi_composite_risk,0.9,0.6333333333333333
rfdi_composite_risk,0.91,0.6263736263736264
rfdi_composite_risk,0.92,0.6195652173913043
rfdi_composite_risk,0.93,0.6236559139784946
rfdi_composite_risk,0.94,0.6276595744680851
rfdi_composite_risk,0.95,0.631578947368421
rfdi_composite_risk,0.96,0.6354166666666666
rfdi_composite_risk,0.97,0.6391752577319587
rfdi_composite_risk,0.98,0.6428571428571429
rfdi_composite_risk,0.99,0.6464646464646465
rfdi_composite_risk,1.0,0.65
